Date,Temperature_10_m,precip_accum_one_hour_set_1,mPM,Fremont.Bridge.Total,AQI_calculated,overall_trend_p&t,overall_corrected
2014-06-18,57.4545454545455,0.0,8.74444444444445,4650.0,29.55,2950.474341847838,4333.272737189963
2014-06-19,57.9583333333333,0.0,6.45833333333333,4412.0,22.9166666666667,2983.6771938300767,4062.069885207724
2014-06-20,57.0,1.04,5.39583333333333,3790.0,19.5416666666667,2858.6182020753226,3565.128876962478
2014-06-21,61.1666666666667,0.0,5.24166666666667,3204.0,46.0416666666667,3195.1269354012165,2642.620143636584
2014-06-22,64.4583333333333,0.0,6.17916666666667,2714.0,28.875,3412.0688780521177,1935.678200985683
2014-06-23,65.9583333333333,0.0,7.6625,4477.0,27.5,3510.928497487973,3599.8185815498277
2014-06-24,66.0416666666667,0.06,5.97083333333333,4342.0,26.4583333333333,3512.8496209136665,3462.897458124134
2014-06-25,67.0,0.0,8.57916666666667,4532.0,36.0833333333333,3579.5810109850972,3586.1660680527034
2014-06-26,63.9583333333333,0.06,7.05416666666667,3857.0,73.375,3375.544593919418,3115.202485118383
2014-06-27,62.4166666666667,1.19,4.1875,2871.0,35.875,3206.6835781251557,2298.063500912645
2014-06-28,62.4166666666667,3.083333333,3.65,1780.0,16.0,3093.996238838439,1319.7508401993618
2014-06-29,62.4583333333333,0.03,5.35416666666667,2312.0,32.9166666666667,3278.4705133106027,1667.276565727198
2014-06-30,65.7083333333333,0.0,6.35,4802.0,34.5833333333333,3494.451894248664,3941.295184789137
2014-07-01,75.5833333333333,0.0,10.5636363636364,5147.0,57.625,4145.277722201379,3635.4693568364214
2014-07-02,69.5416666666667,0.0,9.12916666666667,4742.0,35.125,3747.0931439180767,3628.653935119724
2014-07-03,63.375,0.0,4.7,3759.0,27.75,3340.6702640151125,3052.076815022688
2014-07-04,63.0833333333333,0.0,8.32083333333333,3284.0,16.5416666666667,3321.447560235916,2596.2995188018845
2014-07-05,66.0833333333333,0.0,18.6458333333333,1976.0,19.75,3519.1667991076274,1090.5802799301732
2014-07-06,70.7083333333333,0.0,10.2125,2882.0,19.125,3823.9839590348483,1691.7631200029523
2014-07-07,70.625,0.0,8.3125,4456.0,19.625,3818.491757955081,3271.2553210827195
2014-07-08,72.0,0.0,7.59583333333333,5215.0,21.2916666666667,3909.1130757712817,3939.634003266519
2014-07-09,68.6666666666667,0.0,9.59166666666667,5135.0,26.7083333333333,3689.425032580494,4079.3220464573064
2014-07-10,69.5833333333333,0.0,9.64090909090909,4800.0,33.7083333333333,3749.8392444579567,3683.907834579844
2014-07-11,73.0,0.0,14.6869565217391,4168.0,55.4782608695652,3975.019488728519,2826.727590309282
2014-07-12,74.3333333333333,0.0,13.1,2480.0,23.8181818181818,4062.894706004833,1050.8523730329675
2014-07-13,73.0416666666667,0.0,15.0333333333333,2298.0,20.125,3977.765589268406,953.9814897693946
2014-07-14,70.125,0.03,10.7416666666667,4411.0,26.5833333333333,3783.753012649422,3260.9940663883785
2014-07-15,69.0,0.0,13.9875,4941.0,34.8333333333333,3711.3938368995714,3863.3532421382292
2014-07-16,71.3333333333333,0.0,14.7478260869565,5009.0,39.2916666666667,3865.175467133122,3777.571611904679
2014-07-17,66.5,0.0,12.6,4535.0,22.4166666666667,3546.6278045064782,3622.1192745313224
2014-07-18,65.5833333333333,0.0,11.8458333333333,4135.0,24.7916666666667,3486.2135926290093,3282.5334864087913
2014-07-19,66.2916666666667,0.0,3.81666666666667,2120.0,18.8333333333333,3532.8973018070565,1220.8497772307442
2014-07-20,60.1666666666667,0.0,4.31666666666667,1535.0,17.125,3129.2205224439795,1039.5265565938212
2014-07-21,64.6666666666667,0.0,7.67083333333333,4525.0,23.875,3425.799380751546,3732.9476982862548
2014-07-22,62.9166666666667,0.09,11.8375,4778.0,30.0,3305.10654159526,4106.640537442541
2014-07-23,60.8333333333333,17.905833333,10.0541666666667,1989.0,32.375,2107.4394428625455,2515.307636175255
2014-07-24,60.1666666666667,0.74,5.74166666666667,3002.0,27.1666666666667,3085.17723137698,2550.5698476608204
2014-07-25,63.9166666666667,0.0,6.05833333333333,4072.0,25.25,3376.3695710336187,3329.377508004182
2014-07-26,65.9166666666667,0.0,6.21666666666667,2710.0,26.125,3508.182396948093,1835.5646820897077
2014-07-27,69.375,0.0,6.325,2627.0,21.7916666666667,3736.108741758535,1524.6383372792657
2014-07-28,71.75,0.0,10.2125,4796.0,35.7083333333333,3892.6364725319727,3537.110606505828
2014-07-29,72.1666666666667,0.0,7.81363636363636,5248.0,28.0,3920.0974779308235,3961.649601106977
2014-07-30,70.125,0.0,8.46666666666667,5059.0,26.25,3785.538551476463,3907.2085275613376
2014-07-31,72.3478260869565,0.0,7.07916666666667,4835.0,25.25,3932.0370454955373,3536.7100335422633
2014-08-01,71.8333333333333,0.06,12.0083333333333,4106.0,30.7916666666667,3894.557595957659,2845.1894830801416
2014-08-02,69.9166666666667,0.95,17.9875,2110.0,40.1666666666667,3715.265985920758,1028.4810931170427
2014-08-03,72.6666666666667,0.0,13.0291666666667,2517.0,33.625,3953.0506844094425,1197.6963946283581
2014-08-04,73.2916666666667,0.0,15.4375,4690.0,40.3333333333333,3994.242192507715,3329.5048865300855
2014-08-05,65.9166666666667,0.0,8.80416666666667,4819.0,32.0,3508.182396948093,3944.5646820897077
2014-08-06,68.125,0.0,8.62857142857143,4778.0,24.4166666666667,3653.725725561989,3758.021353475812
2014-08-07,67.875,0.0,9.4125,4553.0,26.0,3637.24912232268,3549.497956715121
2014-08-08,66.8333333333333,0.0,8.08333333333333,3956.0,22.6666666666667,3568.5966088255554,3021.150470212245
2014-08-09,68.0416666666667,0.0,6.575,2429.0,21.875,3648.2335244822207,1414.51355455558
2014-08-10,72.9166666666667,0.0,9.2,2550.0,25.7916666666667,3969.5272876487516,1214.219791389049
2014-08-11,76.875,0.0,20.7227272727273,4325.0,48.7083333333333,4230.406838937813,2728.340240099988
2014-08-12,71.125,1.65,18.125,3767.0,37.4166666666667,3753.240328946472,2647.5067500913287
2014-08-13,65.7916666666667,31.995,5.46363636363636,3286.0,22.75,1595.6669362897374,4324.080142748064
2014-08-14,64.2083333333333,0.03,14.5,4029.0,32.5833333333333,3393.806735985767,3268.9403430520338
2014-08-15,66.875,0.955,13.75,3122.0,28.2916666666667,3514.5030567046533,2241.2440223331473
2014-08-16,68.0,0.0,9.22083333333333,2384.0,24.0416666666667,3645.4874239423343,1372.2596550954663
2014-08-17,68.3333333333333,0.0,9.68333333333333,2446.0,22.5416666666667,3667.4562282614106,1412.29085077639
2014-08-18,70.375,0.0,11.2791666666667,4636.0,29.0416666666667,3802.015154715772,3467.7319243220286
2014-08-19,71.0416666666667,0.0,11.9166666666667,4934.0,36.25,3845.952763353932,3721.7943156838687
2014-08-20,64.25,0.0,8.85833333333333,4189.0,22.5416666666667,3398.338375352695,3424.4087036851056
2014-08-21,62.8333333333333,0.0,10.75,4324.0,26.5416666666667,3304.970956996607,3652.7761220411935
2014-08-22,65.4166666666667,0.0,11.8958333333333,3835.0,32.2083333333333,3475.229190469474,2993.5178885683267
